"TIME","U2(IN+)"
0.01915550303,0.135186
0.01915551503,0.135213
0.01915560678,0.135122
0.01915579795,0.135087
0.01915636581,0.13507
0.01919609261,0.13654
0.01923644999,0.138006
0.01931716474,0.140842
0.01947859426,0.146117
0.01968760004,0.152136
0.01968760104,0.152038
0.01968760304,0.151963
0.01968761504,0.151936
0.01968770412,0.152042
0.0196878828,0.152094
0.01968839852,0.152151
0.01969678538,0.152379
0.01972328927,0.153071
0.0197586278,0.153968
0.01982930485,0.155681
0.01997065895,0.158772
0.02021970004,0.163112
0.02021970104,0.163214
0.02021970304,0.163295
0.02021971504,0.163327
0.02021980284,0.163218
0.02021997396,0.163171
0.02022045965,0.163131
0.02022205424,0.163142
0.02025148213,0.163562
0.02028270095,0.163982
0.02034513858,0.164753
0.02047001384,0.16602
0.02071976436,0.167445
0.02075180004,0.16752
0.02075180104,0.167411
0.02075180304,0.167329
0.02075181504,0.167299
0.02075190219,0.167411
0.02075207115,0.167463
0.02075254777,0.167512
0.02075411008,0.167528
0.02078241992,0.167568
0.02081241714,0.167595
0.02087241158,0.167582
0.02099240046,0.167299
0.02123237821,0.165704
0.02128390004,0.165183
0.02128390104,0.165287
0.02128390304,0.165369
0.02128391504,0.165401
0.02128400259,0.165289
0.02128417247,0.165236
0.0212846532,0.165184
0.02128623007,0.165154
0.02131506175,0.164838
0.02134562826,0.164477
0.02140676128,0.16369
0.02152902732,0.161854
0.0217735594,0.157151
0.02181600004,0.156197
0.02181600104,0.156095
0.02181600304,0.156019
0.02181601504,0.15599
0.02181610359,0.156094
0.02181627954,0.156138
0.0218167842,0.156172
0.02182487371,0.155992
0.02185019075,0.155399
0.0218839468,0.154586
0.02195145892,0.152884
0.02208648314,0.149184
0.02234810004,0.14092
0.02234810104,0.141008
0.02234810304,0.141078
0.02234811504,0.141105
0.02234820586,0.141005
0.02234839226,0.140955
0.02234894019,0.140895
0.0223871399,0.139566
0.02242594596,0.138191
0.02250355807,0.135352
0.0226587823,0.129326
0.02288020004,0.119966
0.02288020104,0.119888
0.02288020304,0.119829
0.02288021504,0.119807
0.02288030931,0.119887
0.02288051214,0.119916
0.02288113405,0.119923
0.02290292475,0.118956
0.02297040565,0.115908
0.02306038017,0.111726
0.02324032921,0.102979
0.02341230004,0.0941744
0.02341230104,0.0942335
0.02341230304,0.0942803
0.02341231504,0.0942978
0.02341241542,0.0942236
0.02341263454,0.094183
0.02341335737,0.094118
0.02344005935,0.0927148
0.02346762268,0.0912553
0.02352274934,0.0883069
0.02363300267,0.0822961
0.02385350932,0.0698552
0.02394440004,0.0645804
0.02394440104,0.0645384
0.02394440304,0.0645067
0.02394441504,0.0644945
0.0239445261,0.0645381
0.02394477661,0.0645428
0.02394571566,0.0645058
0.02398322785,0.0623034
0.02402195011,0.0600191
0.02409939463,0.0554123
0.02425428368,0.0460592
0.02447650004,0.0323707
0.02447650104,0.032391
0.02447650304,0.032407
0.02447651504,0.0324125
0.02447662704,0.0323802
0.02447697865,0.0323461
0.02447838508,0.0322517
0.02449151176,0.0314365
0.02453651751,0.0286298
0.02459652517,0.0248746
0.02471654051,0.0173269
0.02495657117,0.00213675
0.02500860005,-0.00116321
0.02500860105,-0.00116252
0.02500860305,-0.00116208
0.02500861505,-0.00116263
0.02500872705,-0.00117064
0.02500911105,-0.00119545
0.02501064705,-0.0012931
0.02504136705,-0.00324141
0.02507413505,-0.00531929
0.02513967105,-0.00947259
0.02527074305,-0.0177605
0.02553288705,-0.0341908
0.02554070005,-0.0346763
0.02554070105,-0.0346982
0.02554070305,-0.0347155
0.02554071505,-0.034723
0.02554082705,-0.0347029
0.02554116677,-0.0347112
0.02554252566,-0.0347879
0.02555520867,-0.0355771
0.02559869324,-0.0382702
0.02565667268,-0.0418453
0.02577263155,-0.0489346
0.0260045493,-0.0628232
0.02607280005,-0.0668246
0.02607280105,-0.0667813
0.02607280305,-0.0667487
0.02607281505,-0.0667375
0.02607292504,-0.0667954
0.02607317252,-0.06683
0.02607408902,-0.0669021
0.02611045289,-0.0690136
0.0261479898,-0.0711821
0.02622306361,-0.0754763
0.02637321123,-0.0838815
0.02660490005,-0.0963188
0.02660490105,-0.0963794
0.02660490305,-0.0964274
0.02660491505,-0.0964467
0.02660501484,-0.0963816
0.0266052323,-0.0963631
0.0266059446,-0.0963726
0.0266321304,-0.0977346
0.02665916091,-0.0991297
0.02671322192,-0.101889
0.02682134395,-0.107281
0.027037588,-0.117524
0.02713700005,-0.121976
0.02713700105,-0.121897
0.02713700305,-0.121837
0.02713701505,-0.121816
0.02713710893,-0.121906
0.02713731068,-0.121953
0.02713792627,-0.122015
0.0271594154,-0.122957
0.0272259624,-0.125816
0.02731469172,-0.129506
0.02749215037,-0.136449
0.02766910005,-0.142768
0.02766910105,-0.142857
0.02766910305,-0.142928
0.02766911505,-0.142956
0.02766920559,-0.142861
0.02766939056,-0.142823
0.02766993257,-0.142801
0.02770768045,-0.144062
0.0277460275,-0.145319
0.02782272159,-0.147741
0.02797610978,-0.152215
0.02820120005,-0.157859
0.02820120105,-0.157757
0.02820120305,-0.15768
0.02820121505,-0.157652
0.02820130339,-0.157761
0.02820147825,-0.157813
0.02820197855,-0.15787
0.02820995295,-0.158056
0.02823481252,-0.158606
0.02826795861,-0.159317
0.0283342508,-0.160666
0.02846683519,-0.163062
0.02873330005,-0.166646
0.02873330105,-0.166751
0.02873330305,-0.166834
0.02873331505,-0.166866
0.02873340243,-0.166755
0.02873357145,-0.166706
0.02873404875,-0.166663
0.0287356134,-0.166666
0.02876404071,-0.166952
0.02879416484,-0.167231
0.02885441308,-0.167723
0.02897490957,-0.16845
